ts,task,seq,start_delay_ms,completion_delay_ms,runtime_ms,preemptions,deadline_ms
2026-02-20T05:04:00.962846800+00:00,antenna_alignment,136,2567.568,2647.600,3.000,0,50.000
2026-02-20T05:04:01.045898700+00:00,antenna_alignment,137,2598.270,2680.652,3.000,0,50.000
2026-02-20T05:04:01.112616600+00:00,antenna_alignment,138,2631.288,2697.370,3.000,0,50.000
2026-02-20T05:04:01.196185200+00:00,antenna_alignment,139,2647.961,2730.938,3.000,0,50.000
2026-02-20T05:04:01.279274400+00:00,antenna_alignment,140,2681.466,2764.029,3.000,0,50.000
2026-02-20T05:04:01.364600200+00:00,antenna_alignment,141,2714.633,2799.355,3.000,0,50.000
2026-02-20T05:04:01.417228200+00:00,antenna_alignment,142,2750.179,2801.983,3.000,0,50.000
2026-02-20T05:04:01.495926900+00:00,antenna_alignment,143,2752.374,2830.681,3.000,0,50.000
2026-02-20T05:04:01.566197800+00:00,antenna_alignment,144,2781.247,2850.944,3.000,0,50.000
2026-02-20T05:04:01.630587800+00:00,antenna_alignment,145,2801.623,2865.343,3.000,0,50.000
2026-02-20T05:04:01.698075400+00:00,antenna_alignment,146,2815.977,2882.829,3.000,0,50.000
2026-02-20T05:04:01.796224600+00:00,antenna_alignment,147,2833.573,2930.978,3.000,0,50.000
2026-02-20T05:04:01.866449700+00:00,antenna_alignment,148,2881.618,2951.204,3.000,0,50.000
2026-02-20T05:04:01.932121100+00:00,antenna_alignment,149,2902.346,2966.875,3.000,0,50.000
2026-02-20T05:04:02.003818200+00:00,antenna_alignment,150,2917.723,2988.572,3.000,0,50.000
2026-02-20T05:04:02.079361200+00:00,antenna_alignment,151,2939.316,3014.115,3.000,0,50.000
2026-02-20T05:04:02.147979900+00:00,antenna_alignment,152,2964.963,3032.734,3.000,0,50.000
2026-02-20T05:04:02.198281800+00:00,antenna_alignment,153,2983.459,3033.036,3.000,0,50.000
2026-02-20T05:04:02.295557700+00:00,antenna_alignment,154,2983.820,3080.313,3.000,0,50.000
2026-02-20T05:04:02.350036400+00:00,antenna_alignment,155,3030.708,3084.791,3.000,0,50.000
2026-02-20T05:04:02.399460400+00:00,antenna_alignment,156,3035.246,3084.214,3.000,0,50.000
2026-02-20T05:04:02.462679+00:00,antenna_alignment,157,3035.237,3097.433,3.000,0,50.000
2026-02-20T05:04:02.505435200+00:00,antenna_alignment,158,3047.962,3090.189,3.000,0,50.000
2026-02-20T05:04:02.538934600+00:00,antenna_alignment,159,3040.748,3073.688,3.000,0,50.000
2026-02-20T05:04:02.585841300+00:00,antenna_alignment,160,3024.477,3070.596,3.000,0,50.000
2026-02-20T05:04:02.648182+00:00,antenna_alignment,161,3020.966,3082.936,3.000,0,50.000
2026-02-20T05:04:02.700720600+00:00,antenna_alignment,162,3033.329,3085.475,3.000,0,50.000
2026-02-20T05:04:02.768270700+00:00,antenna_alignment,163,3036.015,3103.024,3.000,0,50.000
2026-02-20T05:04:02.847605200+00:00,antenna_alignment,164,3053.914,3132.359,3.000,0,50.000
2026-02-20T05:04:02.912341600+00:00,antenna_alignment,165,3083.425,3147.096,3.000,0,50.000
2026-02-20T05:04:02.964283200+00:00,antenna_alignment,166,3097.863,3149.038,3.000,0,50.000
2026-02-20T05:04:03.029136400+00:00,antenna_alignment,167,3099.887,3163.891,3.000,0,50.000
2026-02-20T05:04:03.096149200+00:00,antenna_alignment,168,3114.474,3180.903,3.000,0,50.000
2026-02-20T05:04:03.148103800+00:00,antenna_alignment,169,3131.777,3182.858,3.000,0,50.000
2026-02-20T05:04:03.214697900+00:00,antenna_alignment,170,3133.556,3199.451,3.000,0,50.000
2026-02-20T05:04:03.285891300+00:00,antenna_alignment,171,3150.255,3220.645,3.000,0,50.000
2026-02-20T05:04:03.348428200+00:00,antenna_alignment,172,3171.475,3233.182,3.000,0,50.000
2026-02-20T05:04:03.413796100+00:00,antenna_alignment,173,3183.907,3248.549,3.000,0,50.000
2026-02-20T05:04:03.465224+00:00,antenna_alignment,174,3199.428,3249.978,3.000,0,50.000
2026-02-20T05:04:03.546351900+00:00,antenna_alignment,175,3200.815,3281.103,3.000,0,50.000
2026-02-20T05:04:03.615014800+00:00,antenna_alignment,176,3232.265,3299.768,3.000,0,50.000
2026-02-20T05:04:03.682100100+00:00,antenna_alignment,177,3251.294,3316.853,3.000,0,50.000
