ts,priority,dropped_count
2026-03-17T17:17:43.975917+00:00,normal,1
2026-03-17T17:17:44.025916200+00:00,normal,1
2026-03-17T17:17:44.065807700+00:00,normal,1
2026-03-17T17:17:44.066196600+00:00,normal,1
2026-03-17T17:17:44.075904100+00:00,normal,1
2026-03-17T17:17:44.126991300+00:00,normal,1
2026-03-17T17:17:44.165855400+00:00,normal,1
2026-03-17T17:17:44.176826700+00:00,normal,1
2026-03-17T17:17:44.226843500+00:00,normal,1
2026-03-17T17:17:44.266461+00:00,normal,1
2026-03-17T17:17:44.266920900+00:00,normal,1
2026-03-17T17:17:44.276855+00:00,normal,1
2026-03-17T17:17:44.326794400+00:00,normal,1
2026-03-17T17:17:44.366007800+00:00,normal,1
2026-03-17T17:17:44.376826+00:00,normal,1
2026-03-17T17:17:44.426900900+00:00,normal,1
2026-03-17T17:17:44.465844900+00:00,normal,1
2026-03-17T17:17:44.466261+00:00,normal,1
2026-03-17T17:17:44.476774200+00:00,normal,1
2026-03-17T17:17:44.526798800+00:00,normal,1
2026-03-17T17:17:44.565748800+00:00,normal,1
2026-03-17T17:17:44.576831300+00:00,normal,1
2026-03-17T17:17:44.627768600+00:00,normal,1
2026-03-17T17:17:44.666047500+00:00,normal,1
2026-03-17T17:17:44.666498200+00:00,normal,1
2026-03-17T17:17:44.677729400+00:00,normal,1
2026-03-17T17:17:44.727672100+00:00,normal,1
2026-03-17T17:17:46.578295400+00:00,normal,1
2026-03-17T17:17:46.628243800+00:00,normal,1
2026-03-17T17:17:46.666120600+00:00,normal,1
2026-03-17T17:17:46.666437900+00:00,normal,1
2026-03-17T17:17:46.678198600+00:00,normal,1
2026-03-17T17:17:46.728218300+00:00,normal,1
2026-03-17T17:17:46.766141900+00:00,normal,1
2026-03-17T17:17:46.778240100+00:00,normal,1
2026-03-17T17:17:46.828242900+00:00,normal,1
2026-03-17T17:17:46.866469300+00:00,normal,1
2026-03-17T17:17:46.866513400+00:00,normal,1
2026-03-17T17:17:46.878831700+00:00,normal,1
2026-03-17T17:17:46.928700900+00:00,normal,1
2026-03-17T17:17:46.966226100+00:00,normal,1
2026-03-17T17:17:46.979196600+00:00,normal,1
2026-03-17T17:17:47.029060600+00:00,normal,1
2026-03-17T17:17:47.066293900+00:00,normal,1
2026-03-17T17:17:47.066890400+00:00,normal,1
2026-03-17T17:17:47.079064500+00:00,normal,1
2026-03-17T17:17:47.129428400+00:00,normal,1
2026-03-17T17:17:47.166341300+00:00,normal,1
2026-03-17T17:17:47.179312300+00:00,normal,1
2026-03-17T17:17:47.229149500+00:00,normal,1
2026-03-17T17:17:47.266221900+00:00,normal,1
2026-03-17T17:17:47.266414900+00:00,normal,1
2026-03-17T17:17:47.279049600+00:00,normal,1
2026-03-17T17:17:47.329147900+00:00,normal,1
2026-03-17T17:17:47.366063600+00:00,normal,1
2026-03-17T17:17:47.379160900+00:00,normal,1
2026-03-17T17:17:47.429232100+00:00,normal,1
2026-03-17T17:17:47.466107+00:00,normal,1
2026-03-17T17:17:47.466293800+00:00,normal,1
2026-03-17T17:17:47.479207700+00:00,normal,1
2026-03-17T17:17:47.529255600+00:00,normal,1
2026-03-17T17:17:47.566119700+00:00,normal,1
2026-03-17T17:17:47.579173+00:00,normal,1
2026-03-17T17:17:47.629485900+00:00,normal,1
2026-03-17T17:17:47.666131+00:00,normal,1
2026-03-17T17:17:47.666293700+00:00,normal,1
2026-03-17T17:17:47.679204500+00:00,normal,1
2026-03-17T17:17:47.729282300+00:00,normal,1
2026-03-17T17:17:47.766313500+00:00,normal,1
2026-03-17T17:17:47.779208300+00:00,normal,1
2026-03-17T17:17:47.829221+00:00,normal,1
2026-03-17T17:17:47.866072400+00:00,normal,1
2026-03-17T17:17:47.866368100+00:00,normal,1
2026-03-17T17:17:47.879317100+00:00,normal,1
2026-03-17T17:17:47.929335600+00:00,normal,1
2026-03-17T17:17:47.966444100+00:00,normal,1
2026-03-17T17:17:47.979709700+00:00,normal,1
2026-03-17T17:17:48.029233+00:00,normal,1
2026-03-17T17:17:48.066142300+00:00,normal,1
2026-03-17T17:17:48.066276500+00:00,normal,1
2026-03-17T17:17:48.079178400+00:00,normal,1
2026-03-17T17:17:48.129189800+00:00,normal,1
2026-03-17T17:17:48.166469600+00:00,normal,1
2026-03-17T17:17:48.179201900+00:00,normal,1
2026-03-17T17:17:48.229304200+00:00,normal,1
2026-03-17T17:17:48.266058400+00:00,normal,1
2026-03-17T17:17:48.266480100+00:00,normal,1
2026-03-17T17:17:48.279207100+00:00,normal,1
2026-03-17T17:17:48.329182900+00:00,normal,1
2026-03-17T17:17:48.366027700+00:00,normal,1
2026-03-17T17:17:48.379407400+00:00,normal,1
2026-03-17T17:17:48.432725900+00:00,normal,1
2026-03-17T17:17:48.466051600+00:00,normal,1
2026-03-17T17:17:48.466775300+00:00,normal,1
2026-03-17T17:17:48.479230300+00:00,normal,1
2026-03-17T17:17:48.530133200+00:00,normal,1
2026-03-17T17:17:48.566079800+00:00,normal,1
2026-03-17T17:17:48.579278300+00:00,normal,1
2026-03-17T17:17:48.629236400+00:00,normal,1
2026-03-17T17:17:48.666551700+00:00,normal,1
2026-03-17T17:17:48.666593200+00:00,normal,1
2026-03-17T17:17:48.679299500+00:00,normal,1
2026-03-17T17:17:48.729282+00:00,normal,1
2026-03-17T17:17:48.766114100+00:00,normal,1
2026-03-17T17:17:48.779257300+00:00,normal,1
2026-03-17T17:17:48.829366200+00:00,normal,1
2026-03-17T17:17:48.866457100+00:00,normal,1
2026-03-17T17:17:48.866512700+00:00,normal,1
2026-03-17T17:17:48.879267900+00:00,normal,1
2026-03-17T17:17:48.929232300+00:00,normal,1
2026-03-17T17:17:48.966141400+00:00,normal,1
2026-03-17T17:17:48.979325700+00:00,normal,1
2026-03-17T17:17:49.029352700+00:00,normal,1
2026-03-17T17:17:49.066178500+00:00,normal,1
2026-03-17T17:17:49.066388600+00:00,normal,1
2026-03-17T17:17:49.079270+00:00,normal,1
2026-03-17T17:17:49.129239100+00:00,normal,1
2026-03-17T17:17:49.166106800+00:00,normal,1
2026-03-17T17:17:49.179280200+00:00,normal,1
2026-03-17T17:17:49.229356500+00:00,normal,1
2026-03-17T17:17:49.266269500+00:00,normal,1
2026-03-17T17:17:49.266445500+00:00,normal,1
2026-03-17T17:17:49.279255300+00:00,normal,1
2026-03-17T17:17:49.329297500+00:00,normal,1
2026-03-17T17:17:49.366059600+00:00,normal,1
2026-03-17T17:17:49.379394300+00:00,normal,1
2026-03-17T17:17:49.429507900+00:00,normal,1
2026-03-17T17:17:49.466126200+00:00,normal,1
2026-03-17T17:17:49.466331300+00:00,normal,1
2026-03-17T17:17:49.479304100+00:00,normal,1
2026-03-17T17:17:49.529765600+00:00,normal,1
2026-03-17T17:17:49.566331600+00:00,normal,1
2026-03-17T17:17:49.579258200+00:00,normal,1
2026-03-17T17:17:49.630074300+00:00,normal,1
2026-03-17T17:17:49.666063900+00:00,normal,1
2026-03-17T17:17:49.666341100+00:00,normal,1
2026-03-17T17:17:49.679350+00:00,normal,1
2026-03-17T17:17:49.729464100+00:00,normal,1
2026-03-17T17:17:49.766349100+00:00,normal,1
2026-03-17T17:17:51.629657300+00:00,normal,1
2026-03-17T17:17:51.666053400+00:00,normal,1
2026-03-17T17:17:51.666348300+00:00,normal,1
2026-03-17T17:17:51.679516700+00:00,normal,1
2026-03-17T17:17:51.729482700+00:00,normal,1
2026-03-17T17:17:51.766485500+00:00,normal,1
2026-03-17T17:17:51.779515100+00:00,normal,1
2026-03-17T17:17:51.829483400+00:00,normal,1
2026-03-17T17:17:51.866089600+00:00,normal,1
2026-03-17T17:17:51.866335700+00:00,normal,1
2026-03-17T17:17:51.879492200+00:00,normal,1
2026-03-17T17:17:51.929662600+00:00,normal,1
2026-03-17T17:17:51.966383400+00:00,normal,1
2026-03-17T17:17:51.979528700+00:00,normal,1
2026-03-17T17:17:52.029584200+00:00,normal,1
2026-03-17T17:17:52.066230700+00:00,normal,1
2026-03-17T17:17:52.066332800+00:00,normal,1
2026-03-17T17:17:52.079683800+00:00,normal,1
2026-03-17T17:17:52.129518200+00:00,normal,1
2026-03-17T17:17:52.166249500+00:00,normal,1
2026-03-17T17:17:52.179502600+00:00,normal,1
2026-03-17T17:17:52.229503+00:00,normal,1
2026-03-17T17:17:52.266137600+00:00,normal,1
2026-03-17T17:17:52.266424300+00:00,normal,1
2026-03-17T17:17:52.279502200+00:00,normal,1
2026-03-17T17:17:52.329756700+00:00,normal,1
2026-03-17T17:17:52.366215600+00:00,normal,1
2026-03-17T17:17:52.379532600+00:00,normal,1
2026-03-17T17:17:52.429531700+00:00,normal,1
2026-03-17T17:17:52.466148700+00:00,normal,1
2026-03-17T17:17:52.466480900+00:00,normal,1
2026-03-17T17:17:52.479556+00:00,normal,1
2026-03-17T17:17:52.529850700+00:00,normal,1
2026-03-17T17:17:52.566099400+00:00,normal,1
2026-03-17T17:17:52.579739400+00:00,normal,1
2026-03-17T17:17:52.629534300+00:00,normal,1
2026-03-17T17:17:52.666389700+00:00,normal,1
2026-03-17T17:17:52.666445+00:00,normal,1
2026-03-17T17:17:52.679632+00:00,normal,1
2026-03-17T17:17:52.729545400+00:00,normal,1
2026-03-17T17:17:52.766045300+00:00,normal,1
2026-03-17T17:17:52.779551900+00:00,normal,1
2026-03-17T17:17:52.829835600+00:00,normal,1
2026-03-17T17:17:52.866526500+00:00,normal,1
2026-03-17T17:17:52.866696100+00:00,normal,1
2026-03-17T17:17:52.879501100+00:00,normal,1
2026-03-17T17:17:52.929730900+00:00,normal,1
2026-03-17T17:17:52.966121500+00:00,normal,1
2026-03-17T17:17:52.979586400+00:00,normal,1
2026-03-17T17:17:53.029732300+00:00,normal,1
2026-03-17T17:17:53.066377700+00:00,normal,1
2026-03-17T17:17:53.066477200+00:00,normal,1
