ts,total,critical,important,normal
2026-03-18T08:04:07.551699500+00:00,2,0,0,2
2026-03-18T08:04:07.564735700+00:00,1,0,1,0
2026-03-18T08:04:07.611831200+00:00,1,0,1,0
2026-03-18T08:04:07.651811500+00:00,1,0,0,1
2026-03-18T08:04:07.674405800+00:00,1,0,1,0
2026-03-18T08:04:07.722507600+00:00,1,0,1,0
2026-03-18T08:04:07.751936200+00:00,2,0,0,2
2026-03-18T08:04:07.770073400+00:00,1,0,1,0
2026-03-18T08:04:07.817378200+00:00,1,0,1,0
2026-03-18T08:04:07.851762+00:00,1,0,0,1
2026-03-18T08:04:07.864156400+00:00,1,0,1,0
2026-03-18T08:04:07.927325100+00:00,1,0,1,0
2026-03-18T08:04:07.951395400+00:00,1,0,0,1
2026-03-18T08:04:07.952065600+00:00,1,0,0,1
2026-03-18T08:04:07.975049300+00:00,1,0,1,0
2026-03-18T08:04:08.022518500+00:00,1,0,1,0
2026-03-18T08:04:08.051701200+00:00,1,0,0,1
2026-03-18T08:04:08.068807+00:00,1,0,1,0
2026-03-18T08:04:08.115195600+00:00,1,0,1,0
2026-03-18T08:04:08.151691+00:00,2,0,0,2
2026-03-18T08:04:08.161976+00:00,1,0,1,0
2026-03-18T08:04:12.419580200+00:00,1,0,1,0
2026-03-18T08:04:12.420925300+00:00,64,0,64,0
2026-03-18T08:04:12.422086600+00:00,64,0,20,44
2026-03-18T08:04:12.423441700+00:00,19,0,0,19
2026-03-18T08:04:12.451676100+00:00,1,0,0,1
2026-03-18T08:04:12.465047900+00:00,1,0,1,0
2026-03-18T08:04:12.511785500+00:00,1,0,1,0
2026-03-18T08:04:12.558121800+00:00,2,0,0,2
2026-03-18T08:04:12.561690900+00:00,1,0,1,0
2026-03-18T08:04:12.611884800+00:00,1,0,1,0
2026-03-18T08:04:12.652132900+00:00,1,0,0,1
2026-03-18T08:04:12.669714600+00:00,1,0,1,0
2026-03-18T08:04:12.712003500+00:00,1,0,1,0
2026-03-18T08:04:12.752290500+00:00,1,0,0,1
2026-03-18T08:04:12.753683300+00:00,1,0,0,1
2026-03-18T08:04:12.764225400+00:00,1,0,1,0
2026-03-18T08:04:12.826850300+00:00,1,0,1,0
2026-03-18T08:04:12.852257+00:00,1,0,0,1
2026-03-18T08:04:12.874584400+00:00,1,0,1,0
2026-03-18T08:04:12.921010500+00:00,1,0,1,0
2026-03-18T08:04:12.952224100+00:00,1,0,0,1
2026-03-18T08:04:12.953667+00:00,1,0,0,1
2026-03-18T08:04:12.967321500+00:00,1,0,1,0
