ts,sensor,seq,jitter_ms,drift_ms,processing_latency_ms,priority,status
2025-09-05T17:52:26.485698+00:00,thermal,137,0.270,0.270,0.000,important,warning
2025-09-05T17:52:26.536112+00:00,power,69,0.660,0.660,0.000,normal,normal
2025-09-05T17:52:26.536105+00:00,thermal,138,0.409,0.409,0.000,important,warning
2025-09-05T17:52:26.585727+00:00,thermal,139,0.379,-0.379,0.000,important,warning
2025-09-05T17:52:26.635092+00:00,thermal,140,0.629,-0.629,0.000,important,warning
2025-09-05T17:52:26.635120+00:00,power,70,0.991,-0.991,0.000,normal,normal
2025-09-05T17:52:26.635166+00:00,attitude,35,0.329,-0.329,0.000,normal,normal
2025-09-05T17:52:26.685068+00:00,thermal,141,0.025,-0.025,0.000,important,warning
2025-09-05T17:52:26.735037+00:00,thermal,142,0.033,-0.033,0.000,important,warning
2025-09-05T17:52:26.735046+00:00,power,71,0.074,-0.074,0.000,normal,normal
2025-09-05T17:52:26.784734+00:00,thermal,143,0.302,-0.302,0.000,important,warning
2025-09-05T17:52:26.835831+00:00,thermal,144,1.093,1.093,0.000,important,warning
2025-09-05T17:52:26.835856+00:00,power,72,0.811,0.811,0.000,normal,normal
2025-09-05T17:52:26.835901+00:00,attitude,36,0.735,0.735,0.000,normal,normal
2025-09-05T17:52:26.885338+00:00,thermal,145,0.488,-0.488,0.000,important,warning
2025-09-05T17:52:26.935272+00:00,thermal,146,0.065,-0.065,0.000,important,warning
2025-09-05T17:52:26.935279+00:00,power,73,0.578,-0.578,0.000,normal,normal
2025-09-05T17:52:26.985240+00:00,thermal,147,0.033,-0.033,0.000,important,warning
2025-09-05T17:52:27.034645+00:00,thermal,148,0.588,-0.588,0.000,important,warning
2025-09-05T17:52:27.034686+00:00,power,74,0.593,-0.593,0.000,normal,normal
2025-09-05T17:52:27.034707+00:00,attitude,37,1.174,-1.174,0.000,normal,normal
2025-09-05T17:52:27.085330+00:00,thermal,149,0.685,0.685,0.000,important,warning
2025-09-05T17:52:27.134796+00:00,thermal,150,0.534,-0.534,0.000,important,warning
2025-09-05T17:52:27.134812+00:00,power,75,0.128,0.128,0.000,normal,normal
2025-09-05T17:52:27.184584+00:00,thermal,151,0.213,-0.213,0.000,important,warning
2025-09-05T17:52:27.235243+00:00,thermal,152,0.660,0.660,0.000,important,warning
2025-09-05T17:52:27.235276+00:00,power,76,0.465,0.465,0.000,normal,normal
2025-09-05T17:52:27.235314+00:00,attitude,38,0.598,0.598,0.000,normal,normal
2025-09-05T17:52:27.285612+00:00,thermal,153,0.370,0.370,0.000,important,warning
2025-09-05T17:52:27.335162+00:00,thermal,154,0.451,-0.451,0.000,important,warning
2025-09-05T17:52:27.335172+00:00,power,77,0.104,-0.104,0.000,normal,normal
2025-09-05T17:52:27.385641+00:00,thermal,155,0.478,0.478,0.000,important,warning
2025-09-05T17:52:27.435130+00:00,thermal,156,0.511,-0.511,0.000,important,warning
2025-09-05T17:52:27.435178+00:00,power,78,0.004,0.004,0.000,normal,normal
2025-09-05T17:52:27.435208+00:00,attitude,39,0.108,-0.108,0.000,normal,normal
2025-09-05T17:52:27.484783+00:00,thermal,157,0.345,-0.345,0.000,important,warning
2025-09-05T17:52:27.535893+00:00,thermal,158,1.110,1.110,0.000,important,warning
2025-09-05T17:52:27.535911+00:00,power,79,0.735,0.735,0.000,normal,normal
2025-09-05T17:52:27.585670+00:00,thermal,159,0.228,-0.228,0.000,important,warning
2025-09-05T17:52:27.635483+00:00,thermal,160,0.189,-0.189,0.000,important,warning
2025-09-05T17:52:27.635501+00:00,power,80,0.410,-0.410,0.000,normal,normal
2025-09-05T17:52:27.635549+00:00,attitude,40,0.333,0.333,0.000,normal,normal
2025-09-05T17:52:27.685626+00:00,thermal,161,0.141,0.141,0.000,important,warning
2025-09-05T17:52:27.735845+00:00,power,81,0.344,0.344,0.000,normal,normal
2025-09-05T17:52:27.735841+00:00,thermal,162,0.211,0.211,0.000,important,warning
2025-09-05T17:52:27.784862+00:00,thermal,163,0.976,-0.976,0.000,important,warning
2025-09-05T17:52:27.835453+00:00,thermal,164,0.593,0.593,0.000,important,warning
2025-09-05T17:52:27.835486+00:00,power,82,0.359,-0.359,0.000,normal,normal
2025-09-05T17:52:27.835553+00:00,attitude,41,0.015,-0.015,0.000,normal,normal
2025-09-05T17:52:27.885610+00:00,thermal,165,0.159,0.159,0.000,important,warning
2025-09-05T17:52:27.935857+00:00,thermal,166,0.246,0.246,0.000,important,warning
2025-09-05T17:52:27.935864+00:00,power,83,0.379,0.379,0.000,normal,normal
2025-09-05T17:52:27.985621+00:00,thermal,167,0.236,-0.236,0.000,important,warning
2025-09-05T17:52:28.035860+00:00,thermal,168,0.236,0.236,0.000,important,warning
2025-09-05T17:52:28.035883+00:00,power,84,0.020,0.020,0.000,normal,normal
2025-09-05T17:52:28.035945+00:00,attitude,42,0.398,0.398,0.000,normal,normal
2025-09-05T17:52:28.084739+00:00,thermal,169,1.118,-1.118,0.000,important,warning
2025-09-05T17:52:28.135114+00:00,thermal,170,0.375,0.375,0.000,important,warning
2025-09-05T17:52:28.135121+00:00,power,85,0.763,-0.763,0.000,normal,normal
2025-09-05T17:52:28.184834+00:00,thermal,171,0.280,-0.280,0.000,important,warning
2025-09-05T17:52:28.235812+00:00,thermal,172,0.975,0.975,0.000,important,warning
2025-09-05T17:52:28.235834+00:00,power,86,0.713,0.713,0.000,normal,normal
2025-09-05T17:52:28.235889+00:00,attitude,43,0.051,-0.051,0.000,normal,normal
2025-09-05T17:52:28.284919+00:00,thermal,173,0.891,-0.891,0.000,important,warning
2025-09-05T17:52:28.335281+00:00,power,87,0.553,-0.553,0.000,normal,normal
2025-09-05T17:52:28.335276+00:00,thermal,174,0.358,0.358,0.000,important,warning
2025-09-05T17:52:28.384687+00:00,thermal,175,0.589,-0.589,0.000,important,warning
2025-09-05T17:52:28.435353+00:00,thermal,176,0.665,0.665,0.000,important,warning
2025-09-05T17:52:28.435379+00:00,power,88,0.097,0.097,0.000,normal,normal
2025-09-05T17:52:28.435434+00:00,attitude,44,0.454,-0.454,0.000,normal,normal
2025-09-05T17:52:28.485079+00:00,thermal,177,0.278,-0.278,0.000,important,warning
2025-09-05T17:52:28.535257+00:00,thermal,178,0.183,0.183,0.000,important,warning
2025-09-05T17:52:28.535264+00:00,power,89,0.113,-0.113,0.000,normal,normal
2025-09-05T17:52:28.585552+00:00,thermal,179,0.295,0.295,0.000,important,warning
2025-09-05T17:52:28.635289+00:00,thermal,180,0.263,-0.263,0.000,important,warning
2025-09-05T17:52:28.635315+00:00,power,90,0.046,0.046,0.000,normal,normal
2025-09-05T17:52:28.635364+00:00,attitude,45,0.069,-0.069,0.000,normal,normal
2025-09-05T17:52:28.685332+00:00,thermal,181,0.042,0.042,0.000,important,warning
