ts,event,fault_id,target,kind,duration_ms,component,recovery_ms,aborted,note
2026-03-18T14:51:46.247954400+00:00,recovery,3e5e9e92-fad3-42d9-936a-155e724e738d,,,,thermal,34.0,false,
2026-03-18T14:52:46.075845800+00:00,inject,d5e50676-a171-4a2a-9414-7d2816f0c6a2,power,corrupt,200,,,,
2026-03-18T14:52:46.325658200+00:00,recovery,d5e50676-a171-4a2a-9414-7d2816f0c6a2,,,,power,49.4,false,
2026-03-18T14:53:46.081002100+00:00,inject,53ebc942-214f-4ba6-a3a1-56b9df3aa6ac,attitude,pause,150,,,,
2026-03-18T14:53:46.271107900+00:00,recovery,53ebc942-214f-4ba6-a3a1-56b9df3aa6ac,,,,attitude,39.3,false,
2026-03-18T14:54:46.601588400+00:00,inject,4fdde21f-82a7-4f9c-9714-3ee5fae774fd,power,corrupt,200,,,,
2026-03-18T14:54:46.888807400+00:00,recovery,4fdde21f-82a7-4f9c-9714-3ee5fae774fd,,,,power,84.5,false,
2026-03-18T14:55:46.602298+00:00,inject,f950ad64-84c5-4515-ad17-51e677147779,attitude,pause,150,,,,
2026-03-18T14:55:46.831446100+00:00,recovery,f950ad64-84c5-4515-ad17-51e677147779,,,,attitude,77.2,false,
2026-03-18T14:56:46.611735300+00:00,inject,2f3c08b7-ddb2-4b06-b596-15335d372348,thermal,delay,150,,,,
2026-03-18T14:56:46.785065100+00:00,recovery,2f3c08b7-ddb2-4b06-b596-15335d372348,,,,thermal,21.2,false,
2026-03-18T15:06:20.810087600+00:00,inject,194e5162-bec3-4b37-893a-b30c6576fce0,power,corrupt,200,,,,
2026-03-18T15:06:21.101448+00:00,recovery,194e5162-bec3-4b37-893a-b30c6576fce0,,,,power,89.5,false,
2026-03-18T15:07:20.814095600+00:00,inject,035d830a-ab37-4891-84dc-5f21990b2163,attitude,pause,150,,,,
2026-03-18T15:07:21.125788300+00:00,recovery,035d830a-ab37-4891-84dc-5f21990b2163,,,,attitude,150.3,false,
2026-03-18T15:08:20.814704100+00:00,inject,a90b34bd-40f5-448c-a04b-4d3de2bec887,thermal,delay,150,,,,
2026-03-18T15:08:20.986327100+00:00,recovery,a90b34bd-40f5-448c-a04b-4d3de2bec887,,,,thermal,16.7,false,
2026-03-18T15:09:20.815772600+00:00,inject,9e0bd894-a7dc-4dda-bd4b-0b8c19d8dd7c,power,corrupt,200,,,,
2026-03-18T15:09:21.067476300+00:00,recovery,9e0bd894-a7dc-4dda-bd4b-0b8c19d8dd7c,,,,power,51.6,false,
2026-03-18T15:10:20.827853600+00:00,inject,770f5f5b-a4ff-4428-b578-68253803218b,attitude,pause,150,,,,
2026-03-18T15:10:21.105020900+00:00,recovery,770f5f5b-a4ff-4428-b578-68253803218b,,,,attitude,121.8,false,
2026-03-18T15:11:20.828244300+00:00,inject,7d4e5b4a-11d2-4041-b523-fde4f6bd8bf8,thermal,delay,150,,,,
2026-03-18T15:11:21.010389200+00:00,recovery,7d4e5b4a-11d2-4041-b523-fde4f6bd8bf8,,,,thermal,18.3,false,
2026-03-18T15:12:20.829721900+00:00,inject,6c452e1c-095b-4646-98e4-1866b3927ce9,power,corrupt,200,,,,
2026-03-18T15:12:21.109316900+00:00,recovery,6c452e1c-095b-4646-98e4-1866b3927ce9,,,,power,70.0,false,
2026-03-18T15:13:20.830386900+00:00,inject,ec7f3c37-47f9-414b-ba19-9b05e9272861,attitude,pause,150,,,,
2026-03-18T15:13:21.039961+00:00,recovery,ec7f3c37-47f9-414b-ba19-9b05e9272861,,,,attitude,53.0,false,
2026-03-18T15:14:20.828684600+00:00,inject,913236a5-1f1d-406f-be18-81199848de16,thermal,delay,150,,,,
2026-03-18T15:14:21.017036900+00:00,recovery,913236a5-1f1d-406f-be18-81199848de16,,,,thermal,35.9,false,
2026-03-18T15:15:20.830175400+00:00,inject,183b28e5-8de7-4243-8d61-6558a6e2bdce,power,corrupt,200,,,,
2026-03-18T15:15:21.076452700+00:00,recovery,183b28e5-8de7-4243-8d61-6558a6e2bdce,,,,power,43.4,false,
2026-03-18T15:16:20.836750100+00:00,inject,6031f5aa-7244-4cfa-ab90-a10c67367052,attitude,pause,150,,,,
2026-03-18T15:16:21.072738600+00:00,recovery,6031f5aa-7244-4cfa-ab90-a10c67367052,,,,attitude,80.1,false,
2026-03-18T15:17:20.836921500+00:00,inject,951ff8eb-aa2d-460a-9e2d-bbd1b71b6afa,thermal,delay,150,,,,
2026-03-18T15:17:21.010252400+00:00,recovery,951ff8eb-aa2d-460a-9e2d-bbd1b71b6afa,,,,thermal,22.3,false,
2026-03-18T15:18:20.838458400+00:00,inject,5a37450d-2491-476c-af2b-594d6eaeb3ec,power,corrupt,200,,,,
2026-03-18T15:18:21.124848300+00:00,recovery,5a37450d-2491-476c-af2b-594d6eaeb3ec,,,,power,82.9,false,
2026-03-18T15:19:20.836973+00:00,inject,07411a3b-9863-4bfe-90fc-b7e4eca8b3d5,attitude,pause,150,,,,
2026-03-18T15:19:21.090619100+00:00,recovery,07411a3b-9863-4bfe-90fc-b7e4eca8b3d5,,,,attitude,93.9,false,
2026-03-18T15:20:20.836927200+00:00,inject,fcefc288-8ec1-4165-90e6-b3af5005277f,thermal,delay,150,,,,
2026-03-18T15:20:21.008812600+00:00,recovery,fcefc288-8ec1-4165-90e6-b3af5005277f,,,,thermal,20.9,false,
2026-03-18T15:21:20.836922+00:00,inject,87f4e7a6-bd88-4268-9648-81f529cc4f1a,power,corrupt,200,,,,
2026-03-18T15:21:21.247279100+00:00,recovery,87f4e7a6-bd88-4268-9648-81f529cc4f1a,,,,power,201.1,true,
2026-03-18T15:22:20.844617500+00:00,inject,1961466f-1c97-4be1-b7be-26b50cc26c7a,attitude,pause,150,,,,
2026-03-18T15:22:21.138300400+00:00,recovery,1961466f-1c97-4be1-b7be-26b50cc26c7a,,,,attitude,138.1,false,
2026-03-18T15:31:19.560800600+00:00,inject,f832a1dc-b4aa-4497-9924-1a0eed6c479f,power,corrupt,200,,,,
2026-03-18T15:31:19.848756700+00:00,recovery,f832a1dc-b4aa-4497-9924-1a0eed6c479f,,,,power,71.1,false,
2026-03-18T15:32:19.567587100+00:00,inject,1128c614-3d61-4c1f-a5ec-d80fb9da4c45,attitude,pause,150,,,,
2026-03-18T15:32:19.752504500+00:00,recovery,1128c614-3d61-4c1f-a5ec-d80fb9da4c45,,,,attitude,32.8,false,
2026-03-18T15:33:16.826398500+00:00,inject,0c800b40-531a-4caf-8129-57139d579361,power,corrupt,200,,,,
2026-03-18T15:33:17.114204700+00:00,recovery,0c800b40-531a-4caf-8129-57139d579361,,,,power,75.8,false,
2026-03-18T15:34:16.827763300+00:00,inject,e6bac26c-5b68-4530-99f1-401766b2b61f,attitude,pause,150,,,,
2026-03-18T15:34:17.015312200+00:00,recovery,e6bac26c-5b68-4530-99f1-401766b2b61f,,,,attitude,32.0,false,
2026-03-18T15:35:16.831703200+00:00,inject,da0ef4fd-5aca-4924-bf83-e4900472cd4f,thermal,delay,150,,,,
2026-03-18T15:35:16.999151900+00:00,recovery,da0ef4fd-5aca-4924-bf83-e4900472cd4f,,,,thermal,0.8,false,
2026-03-18T15:36:16.832176200+00:00,inject,d6276d8f-3658-4b45-b1af-67ce782dc6da,power,corrupt,200,,,,
2026-03-18T15:36:17.094482900+00:00,recovery,d6276d8f-3658-4b45-b1af-67ce782dc6da,,,,power,49.6,false,
2026-03-18T15:37:16.839717400+00:00,inject,6d0a4871-a409-4680-acea-614c8bde2353,attitude,pause,150,,,,
2026-03-18T15:37:17.007917700+00:00,recovery,6d0a4871-a409-4680-acea-614c8bde2353,,,,attitude,5.9,false,
2026-03-18T15:37:56.407405900+00:00,inject,ae427852-d1f6-45c2-95b2-07a905af5f26,power,corrupt,200,,,,
2026-03-18T15:37:56.695476500+00:00,recovery,ae427852-d1f6-45c2-95b2-07a905af5f26,,,,power,73.8,false,
2026-03-18T15:38:56.407975900+00:00,inject,0dbe8029-fbb9-4d91-8570-30d9b2fc2fce,attitude,pause,150,,,,
2026-03-18T15:38:56.632219600+00:00,recovery,0dbe8029-fbb9-4d91-8570-30d9b2fc2fce,,,,attitude,73.2,false,
2026-03-18T15:39:56.407976500+00:00,inject,1a504afe-4d93-458a-863e-3b746eb699a2,thermal,delay,150,,,,
2026-03-18T15:39:56.576005700+00:00,recovery,1a504afe-4d93-458a-863e-3b746eb699a2,,,,thermal,17.0,false,
2026-03-18T15:40:56.410148400+00:00,inject,3fabd9c5-7ef2-4987-ad34-a3de77074881,power,corrupt,200,,,,
2026-03-18T15:40:56.618164100+00:00,recovery,3fabd9c5-7ef2-4987-ad34-a3de77074881,,,,power,6.7,false,
2026-03-18T15:41:56.408598300+00:00,inject,42c644dd-f12d-41d8-9185-3e0fbcabd3f5,attitude,pause,150,,,,
2026-03-18T15:41:56.724076+00:00,recovery,42c644dd-f12d-41d8-9185-3e0fbcabd3f5,,,,attitude,165.0,false,
2026-03-18T15:42:56.407977900+00:00,inject,5db2d25e-dca5-4037-adbf-aedea36d0552,thermal,delay,150,,,,
2026-03-18T15:42:56.589264200+00:00,recovery,5db2d25e-dca5-4037-adbf-aedea36d0552,,,,thermal,29.0,false,
2026-03-18T15:43:56.418064200+00:00,inject,072e50c9-5244-453f-be80-2e17f8ca0e35,power,corrupt,200,,,,
2026-03-18T15:43:56.643149600+00:00,recovery,072e50c9-5244-453f-be80-2e17f8ca0e35,,,,power,23.6,false,
2026-03-18T15:44:56.427524800+00:00,inject,d513d335-d03a-4f64-8f62-105c99605c44,attitude,pause,150,,,,
2026-03-18T15:44:56.607053300+00:00,recovery,d513d335-d03a-4f64-8f62-105c99605c44,,,,attitude,25.1,false,
2026-03-18T15:45:56.427983200+00:00,inject,52437080-3c9e-4953-81c0-27d28d937e59,thermal,delay,150,,,,
2026-03-18T15:45:56.603736300+00:00,recovery,52437080-3c9e-4953-81c0-27d28d937e59,,,,thermal,24.1,false,
2026-03-18T15:46:56.427981900+00:00,inject,8e832198-9709-4bc2-a104-fcb25a550bf5,power,corrupt,200,,,,
2026-03-18T15:46:56.652032900+00:00,recovery,8e832198-9709-4bc2-a104-fcb25a550bf5,,,,power,23.1,false,
2026-03-18T15:47:56.433128800+00:00,inject,c7705963-aa02-4d28-bc9b-ed84c34ddfb6,attitude,pause,150,,,,
2026-03-18T15:47:56.684038900+00:00,recovery,c7705963-aa02-4d28-bc9b-ed84c34ddfb6,,,,attitude,95.7,false,
