ts,command_id,command_type,target_system,priority,is_urgent,send_time_ms,deadline_met,network_met,adherent,deadline_violation_ms,precision_ms,reason
2026-03-21T11:23:05.482288200+00:00,041da968-fa00-4345-bebd-bee791faab5e,ThermalControl,ThermalManagement,3,false,0.137,true,true,true,0.000,4.739,ok
2026-03-21T11:23:05.579491300+00:00,8b15203d-851b-4c3a-8644-964081fddd60,PowerControl,PowerManagement,3,false,0.101,true,true,true,0.000,1.750,ok
2026-03-21T11:23:05.682137800+00:00,246ff840-4151-4b61-8e42-351fa63088e3,PowerControl,PowerManagement,3,false,0.107,true,true,true,0.000,4.429,ok
2026-03-21T11:23:05.780522900+00:00,bcbd65d6-98fb-41d7-aed6-6308c2c995b2,PowerControl,PowerManagement,3,false,0.116,true,true,true,0.000,2.923,ok
2026-03-21T11:23:05.894817+00:00,e5e15e7d-9557-429d-859a-2764d8ccc786,AttitudeControl,AttitudeControl,3,false,0.095,true,true,true,0.000,17.043,ok
2026-03-21T11:23:05.979980600+00:00,b1fb834f-bd45-4a36-8e21-b3d3a889a5f0,AttitudeControl,AttitudeControl,3,false,0.124,true,true,true,0.000,1.818,ok
2026-03-21T11:23:06.081263+00:00,518e5960-a735-42e5-8f4b-72661269db4c,AttitudeControl,AttitudeControl,3,false,0.096,true,true,true,0.000,2.807,ok
2026-03-21T11:23:07.277784600+00:00,b009ef82-a14d-4ec1-9ef0-38a961e451e1,Diagnostic,ThermalManagement,2,false,0.091,true,true,true,0.000,5.987,ok
2026-03-21T11:23:07.488857300+00:00,890a7787-ec0d-4243-a2c9-07018b6d4c44,Diagnostic,PowerManagement,2,false,0.095,true,true,true,0.000,16.794,ok
2026-03-21T11:23:07.680046300+00:00,21a972e3-50f1-4594-b71d-d5ca985c0df9,Diagnostic,AttitudeControl,2,false,0.103,true,true,true,0.000,7.672,ok
2026-03-21T11:23:10.255104700+00:00,2b429334-b55a-47b2-a9d0-84841ee72566,ThermalControl,ThermalManagement,1,true,0.084,true,true,true,0.000,0.843,ok
2026-03-21T11:23:15.262243300+00:00,a483a5ef-354b-4def-8cd0-17e8240bc439,ThermalControl,ThermalManagement,3,false,0.398,true,true,true,0.000,4.661,ok
2026-03-21T11:23:15.266080200+00:00,37990213-1a68-455b-b363-caff42a9ac70,Emergency,AllSystems,0,true,0.086,true,true,true,0.000,1.570,ok
2026-03-21T11:23:15.361093600+00:00,4134d267-a045-4ac2-97e5-7dac8c11622c,ThermalControl,ThermalManagement,3,false,0.088,true,true,true,0.000,4.200,ok
2026-03-21T11:23:15.474103800+00:00,3e38b18e-45bf-47ac-9986-a58bb8a021c4,ThermalControl,ThermalManagement,3,false,0.085,true,true,true,0.000,17.010,ok
2026-03-21T11:23:15.572380300+00:00,f7ec1a4d-a6b8-4dc8-893e-c2764c2c379d,PowerControl,PowerManagement,3,false,0.091,true,true,true,0.000,14.558,ok
2026-03-21T11:23:15.658619200+00:00,4e6c3cfb-3cf2-4ac0-aca0-ec588b022099,PowerControl,PowerManagement,3,false,0.051,true,true,true,0.000,0.379,ok
2026-03-21T11:23:15.763360100+00:00,13d9cf6c-a062-467c-b698-60a90c755e30,PowerControl,PowerManagement,3,false,0.095,true,true,true,0.000,4.471,ok
