ts,event_type,interlock_id,activation_reason,fault_id,fault_type,activated_at,released_at,activation_latency_ms,total_active_ms
2026-03-20T18:33:02.953670200+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:02.952921200+00:00,,0.011,
2026-03-20T18:33:03.087405700+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:02.952921200+00:00,2026-03-20T18:33:03.087122400+00:00,0.011,134.201
2026-03-20T18:33:03.402100500+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.401811200+00:00,,4361.083,
2026-03-20T18:33:03.403518700+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.403225600+00:00,,4116.543,
2026-03-20T18:33:03.490620+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.490265400+00:00,,2.574,
2026-03-20T18:33:03.591412600+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.591004700+00:00,,3.297,
2026-03-20T18:33:03.690497600+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.690080+00:00,,2.378,
2026-03-20T18:33:03.791672200+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.791281700+00:00,,3.573,
2026-03-20T18:33:03.891109700+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.890700900+00:00,,2.985,
2026-03-20T18:33:03.990573400+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:03.990254300+00:00,,2.531,
2026-03-20T18:33:04.090537200+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:04.090182800+00:00,,2.452,
2026-03-20T18:33:04.190553700+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:04.190222200+00:00,,2.486,
2026-03-20T18:33:04.910198700+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:04.909608700+00:00,,0.007,
2026-03-20T18:33:05.034468400+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:04.909608700+00:00,2026-03-20T18:33:05.033935600+00:00,0.007,124.326
2026-03-20T18:33:06.202781100+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:06.202186900+00:00,,0.008,
2026-03-20T18:33:06.268761200+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:06.202186900+00:00,2026-03-20T18:33:06.268418500+00:00,0.008,66.231
2026-03-20T18:33:06.881427400+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:06.880861900+00:00,,0.011,
2026-03-20T18:33:06.982349500+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:06.880861900+00:00,2026-03-20T18:33:06.982109700+00:00,0.011,101.247
2026-03-20T18:33:08.169913400+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:08.168899500+00:00,,0.024,
2026-03-20T18:33:08.266429400+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:08.168899500+00:00,2026-03-20T18:33:08.266129700+00:00,0.024,97.230
2026-03-20T18:33:08.492156400+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:08.491599700+00:00,,3.586,
